"","X","County.Code","District.Code","School.Code","Charter.Number","Test.Year","Subgroup.ID","Test.Type","CAPA.Assessment.Level","Total.STAR.Enrollment","Total.Tested.At.Entity.Level","Total.Tested.At.Subgroup.Level","Grade","Test.Id","STAR.Reported.Enrollment.CAPA.Eligible","Students.Tested","Percent.Tested","Mean.Scale.Score","Percentage.Advanced","Percentage.Proficient","Percentage.At.Or.Above.Proficient","Percentage.Basic","Percentage.Below.Basic","Percentage.Far.Below.Basic","Students.with.Scores","CMA.STS.Average.Percent.Correct","School.Name","District.Name","County.Name","Zip.Code","Test.Name","Subgroup.Name"
"51","50567",38,68478,3839081,0,2010,111,"C",0,1704,1686,730,11,10,557,46,8.3,287.6,NA,NA,9,NA,NA,NA,46,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST Integrated Math 1"," Not Economically Disadvantaged"
"52","50568",38,68478,3839081,0,2010,111,"C",0,1704,1686,730,11,21,557,159,28.5,343.5,NA,NA,39,NA,NA,NA,159,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST Chemistry"," Not Economically Disadvantaged"
"53","51009",38,68478,3839081,0,2010,160,"C",0,1704,1686,285,9,7,430,76,17.7,296.7,NA,NA,4,NA,NA,NA,76,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST English-Language Arts"," English Learner"
"54","51017",38,68478,3839081,0,2010,160,"C",0,1704,1686,285,10,9,717,21,2.9,249.7,NA,NA,5,NA,NA,NA,21,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST Algebra I"," English Learner"
"55","51158",38,68478,3839081,0,2010,171,"C",0,1704,1686,24,10,32,717,13,1.8,323.6,NA,NA,46,NA,NA,NA,13,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science"," English Learner – No Services Received"
"56","51187",38,68478,3839081,0,2010,180,"C",0,1704,1686,476,10,18,717,173,24.1,350.5,NA,NA,51,NA,NA,NA,172,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST World History"," English Only"
"57","51188",38,68478,3839081,0,2010,180,"C",0,1704,1686,476,10,11,717,98,13.7,308.3,NA,NA,22,NA,NA,NA,97,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST Geometry"," English Only"
"58","51269",38,68478,3839081,0,2010,202,"C",0,1704,1686,717,10,18,717,294,41,358.8,NA,NA,56,NA,NA,NA,294,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST World History"," Asian"
"59","51575",38,68478,3839081,0,2010,224,"C",0,1704,1686,73,11,7,557,24,4.3,331.3,NA,NA,42,NA,NA,NA,24,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST English-Language Arts"," Hispanic or Latino"
"60","51611",38,68478,3839081,0,2010,226,"C",0,1704,1686,89,10,32,717,33,4.6,364.4,NA,NA,61,NA,NA,NA,33,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science"," White"
"61","51616",38,68478,3839081,0,2010,226,"C",0,1704,1686,89,10,7,717,33,4.6,359.1,NA,NA,58,NA,NA,NA,33,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST English-Language Arts"," White"
"62","51617",38,68478,3839081,0,2010,226,"C",0,1704,1686,89,11,7,557,28,5,364,NA,NA,61,NA,NA,NA,28,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST English-Language Arts"," White"
"63","51884",38,68478,6040695,0,2010,111,"C",0,355,354,217,4,7,80,48,60,422.6,NA,NA,92,NA,NA,NA,48,NA,"Alamo Elementary","San Francisco Unified","San Francisco",94121,"CST English-Language Arts"," Not Economically Disadvantaged"
"64","51931",38,68478,6040695,0,2010,129,"C",0,355,354,161,5,32,116,49,42.2,401.8,NA,NA,84,NA,NA,NA,49,NA,"Alamo Elementary","San Francisco Unified","San Francisco",94121,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science"," Chinese"
"65","52037",38,68478,6040695,0,2010,180,"C",0,355,354,174,4,8,80,36,45,441.2,NA,NA,94,NA,NA,NA,36,NA,"Alamo Elementary","San Francisco Unified","San Francisco",94121,"CST Mathematics"," English Only"
"66","52173",38,68478,6040703,0,2010,3,"C",0,326,325,170,4,8,83,39,47,366.8,NA,NA,62,NA,NA,NA,39,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"CST Mathematics"," Males"
"67","52538",38,68478,6040703,0,2010,111,"C",0,326,325,165,5,8,70,23,32.9,466.7,NA,NA,87,NA,NA,NA,23,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"CST Mathematics"," Not Economically Disadvantaged"
"68","52560",38,68478,6040703,0,2010,121,"C",0,326,325,91,3,7,86,11,12.8,321.2,NA,NA,36,NA,NA,NA,11,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"CST English-Language Arts"," Parent Education -- Declined to State"
"69","52562",38,68478,6040703,0,2010,121,"C",0,326,325,91,4,8,83,12,14.5,332.1,NA,NA,33,NA,NA,NA,12,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"CST Mathematics"," Parent Education -- Declined to State"
"70","52563",38,68478,6040703,0,2010,121,"C",0,326,325,91,4,7,83,11,13.3,346.5,NA,NA,45,NA,NA,NA,11,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"CST English-Language Arts"," Parent Education -- Declined to State"
"71","52564",38,68478,6040703,0,2010,121,"C",0,326,325,91,5,7,70,44,62.9,388.4,NA,NA,77,NA,NA,NA,44,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"CST English-Language Arts"," Parent Education -- Declined to State"
"72","52641",38,68478,6040703,0,2010,142,"C",0,326,325,112,2,7,87,24,27.6,338.3,NA,NA,54,NA,NA,NA,24,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"CST English-Language Arts"," English Learners Enrolled in School in the U.S. 12 Months or More"
"73","52642",38,68478,6040703,0,2010,142,"C",0,326,325,112,3,8,86,29,33.7,334.8,NA,NA,38,NA,NA,NA,29,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"CST Mathematics"," English Learners Enrolled in School in the U.S. 12 Months or More"
"74","52644",38,68478,6040703,0,2010,142,"C",0,326,325,112,4,8,83,25,30.1,320.6,NA,NA,36,NA,NA,NA,25,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"CST Mathematics"," English Learners Enrolled in School in the U.S. 12 Months or More"
"75","52646",38,68478,6040703,0,2010,142,"C",0,326,325,112,5,7,70,14,20,315.1,NA,NA,21,NA,NA,NA,14,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"CST English-Language Arts"," English Learners Enrolled in School in the U.S. 12 Months or More"
"76","52647",38,68478,6040703,0,2010,142,"C",0,326,325,112,5,32,70,15,21.4,302.8,NA,NA,20,NA,NA,NA,15,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science"," English Learners Enrolled in School in the U.S. 12 Months or More"
"77","52648",38,68478,6040703,0,2010,142,"C",0,326,325,112,5,8,70,15,21.4,322,NA,NA,33,NA,NA,NA,15,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"CST Mathematics"," English Learners Enrolled in School in the U.S. 12 Months or More"
"78","52721",38,68478,6040703,0,2010,167,"C",0,326,325,76,4,7,83,18,21.7,319.8,NA,NA,28,NA,NA,NA,18,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"CST English-Language Arts"," ELD Instruction and SDAIE Instruction but Not Primary Language Instruction"
"79","52722",38,68478,6040703,0,2010,167,"C",0,326,325,76,5,8,70,13,18.6,322.3,NA,NA,38,NA,NA,NA,13,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"CST Mathematics"," ELD Instruction and SDAIE Instruction but Not Primary Language Instruction"
"80","52736",38,68478,6040703,0,2010,167,"S",0,326,325,76,2,38,87,11,12.6,351.5,NA,NA,55,NA,NA,NA,11,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"STS Reading-Language Arts"," ELD Instruction and SDAIE Instruction but Not Primary Language Instruction"
"81","52737",38,68478,6040703,0,2010,167,"S",0,326,325,76,3,39,86,22,25.6,370,NA,NA,67,NA,NA,NA,21,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"STS Mathematics"," ELD Instruction and SDAIE Instruction but Not Primary Language Instruction"
"82","52738",38,68478,6040703,0,2010,167,"S",0,326,325,76,3,38,86,22,25.6,343.6,NA,NA,41,NA,NA,NA,22,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"STS Reading-Language Arts"," ELD Instruction and SDAIE Instruction but Not Primary Language Instruction"
"83","52741",38,68478,6040703,0,2010,167,"S",0,326,325,76,5,39,70,14,20,338.9,NA,NA,50,NA,NA,NA,14,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"STS Mathematics"," ELD Instruction and SDAIE Instruction but Not Primary Language Instruction"
"84","52887",38,68478,6040703,0,2010,226,"C",0,326,325,96,4,7,83,25,30.1,421,NA,NA,96,NA,NA,NA,25,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"CST English-Language Arts"," White"
"85","52888",38,68478,6040703,0,2010,226,"C",0,326,325,96,4,8,83,25,30.1,408.1,NA,NA,92,NA,NA,NA,25,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"CST Mathematics"," White"
"86","52891",38,68478,6040703,0,2010,226,"C",0,326,325,96,5,7,70,16,22.9,426.8,NA,NA,100,NA,NA,NA,16,NA,"Alvarado Elementary","San Francisco Unified","San Francisco",94114,"CST English-Language Arts"," White"
